aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium
1.76,29.10,0.01,2.38,0.01,3.42,0.86,1.61,1.39,0.09,0.01,0.04,16.10,1.13,0.00,39.60,3.60,0.04,0.12,0.05
0.27,11.62,0.03,1.31,0.00,5.98,0.32,1.63,0.75,0.95,0.95,0.16,14.05,1.22,0.00,1.12,0.05,0.06,0.02,0.05
2.54,16.45,0.03,0.23,0.01,6.27,0.63,0.66,0.04,0.82,0.82,0.10,3.07,1.25,0.01,44.92,6.58,0.04,0.06,0.04
0.90,10.36,0.00,2.47,0.01,4.76,0.17,1.29,1.01,0.03,0.01,0.01,13.77,1.18,0.00,36.46,0.49,0.09,0.07,0.09
1.99,26.85,0.00,1.03,0.01,7.31,0.25,1.57,1.17,0.62,0.62,0.09,18.01,1.00,0.00,23.86,3.74,0.08,0.20,0.02
0.83,7.70,0.05,0.57,0.00,6.98,0.05,0.87,1.39,0.35,0.00,0.02,10.63,1.77,0.00,29.81,6.98,0.08,0.24,0.07
3.75,29.24,0.02,2.01,0.00,3.88,0.41,1.50,1.01,0.61,0.61,0.13,17.99,1.72,0.00,57.49,0.45,0.06,0.41,0.05
0.72,9.47,0.01,3.49,0.00,3.23,0.07,0.86,1.29,0.39,0.01,0.02,11.34,1.39,0.01,30.21,6.62,0.01,0.43,0.04
4.69,20.94,0.00,1.34,0.00,3.48,0.15,0.54,1.40,0.55,0.55,0.07,16.37,1.41,0.01,29.51,4.20,0.04,0.16,0.04
3.12,18.12,0.03,3.98,0.01,1.87,0.07,0.66,0.04,0.32,0.00,0.03,8.02,1.07,0.00,40.27,1.16,0.00,0.35,0.02
0.77,11.52,0.01,0.31,0.01,3.51,0.86,1.89,1.38,0.89,0.89,0.03,14.10,1.73,0.01,44.28,5.03,0.00,0.49,0.02
3.98,11.14,0.02,0.38,0.00,7.18,0.07,1.13,0.24,0.59,0.59,0.05,5.48,1.35,0.00,32.35,5.22,0.00,0.21,0.08
4.13,27.20,0.01,2.35,0.00,6.70,0.62,1.14,0.92,0.02,0.01,0.02,13.76,1.77,0.01,54.14,5.12,0.07,0.42,0.04
4.39,29.54,0.02,2.50,0.01,4.93,0.62,0.10,0.72,0.39,0.01,0.01,14.95,1.21,0.01,8.56,6.29,0.10,0.29,0.06
3.75,29.50,0.01,2.00,0.00,4.84,0.04,0.36,0.55,0.14,0.01,0.17,11.63,1.51,0.01,31.08,7.40,0.03,0.05,0.07
1.09,2.07,0.02,3.01,0.00,3.03,0.25,0.39,0.76,0.15,0.00,0.08,14.87,1.58,0.01,41.01,2.82,0.02,0.45,0.01
0.34,20.63,0.01,0.76,0.01,4.93,0.42,0.61,1.26,0.42,0.01,0.16,0.49,1.45,0.01,50.59,3.04,0.05,0.37,0.05
4.44,28.93,0.03,2.84,0.00,5.60,0.37,1.38,0.63,0.97,0.97,0.02,3.83,1.39,0.00,3.30,0.00,0.04,0.35,0.06
2.41,15.24,0.03,0.63,0.01,7.12,0.49,1.74,1.40,0.94,0.94,0.17,0.45,1.97,0.01,44.82,5.31,0.09,0.13,0.07
0.78,6.58,0.01,3.38,0.01,1.80,0.53,1.05,1.26,0.03,0.00,0.08,8.69,1.80,0.00,42.43,1.67,0.01,0.12,0.09
2.09,23.99,0.02,0.25,0.01,3.28,0.57,0.95,0.75,0.82,0.82,0.20,11.71,1.79,0.01,34.24,4.40,0.08,0.35,0.01
2.06,13.55,0.02,2.78,0.01,3.05,0.32,0.04,0.55,0.58,0.58,0.13,1.76,1.80,0.00,15.21,6.52,0.03,0.47,0.01
0.23,20.50,0.05,2.36,0.00,0.50,0.17,1.07,1.03,0.00,0.00,0.14,16.63,1.22,0.01,33.50,2.73,0.10,0.34,0.08
0.95,5.76,0.01,3.94,0.00,1.70,0.47,1.15,0.25,0.04,0.00,0.14,2.40,1.75,0.01,46.85,0.94,0.09,0.45,0.02
3.76,23.89,0.04,3.63,0.00,1.11,0.11,1.04,1.06,0.00,0.00,0.04,15.70,1.27,0.01,32.40,5.52,0.06,0.42,0.09
2.24,1.88,0.03,1.92,0.00,7.51,0.40,1.90,1.18,0.46,0.01,0.11,15.84,1.81,0.00,6.36,6.82,0.05,0.26,0.05
2.99,27.00,0.04,3.35,0.01,5.90,0.72,0.93,0.89,0.00,0.00,0.18,8.87,1.50,0.01,32.75,5.77,0.07,0.14,0.03
4.00,5.65,0.02,3.40,0.00,0.73,0.47,1.32,0.65,0.95,0.95,0.15,9.15,1.10,0.00,40.62,0.88,0.00,0.29,0.09
3.11,17.70,0.00,3.35,0.00,1.40,0.29,1.38,1.48,0.00,0.00,0.08,17.96,1.98,0.00,28.45,3.93,0.07,0.31,0.08
0.39,12.69,0.05,3.75,0.01,7.44,0.65,1.78,0.01,0.75,0.75,0.15,4.86,1.99,0.00,25.23,2.86,0.01,0.23,0.07
0.18,16.82,0.02,0.79,0.00,1.56,0.48,0.70,0.85,0.00,0.00,0.12,13.16,1.09,0.00,52.76,5.17,0.08,0.04,0.05
2.33,4.57,0.04,2.40,0.01,6.37,0.89,0.24,0.83,0.80,0.80,0.19,8.16,1.36,0.01,9.33,0.54,0.10,0.13,0.05
1.97,17.23,0.04,2.68,0.01,3.65,0.20,0.12,0.13,0.00,0.00,0.05,6.06,1.77,0.00,45.83,4.64,0.04,0.05,0.02
2.54,27.03,0.01,1.17,0.00,4.52,0.18,1.93,0.78,0.55,0.55,0.17,18.01,1.51,0.00,4.32,4.82,0.04,0.15,0.01
4.33,29.04,0.02,1.63,0.01,3.30,0.87,0.95,0.43,0.00,0.00,0.07,3.72,1.36,0.00,27.63,4.67,0.07,0.27,0.06
1.93,26.65,0.00,0.79,0.01,4.99,0.67,1.99,0.08,0.10,0.01,0.17,16.74,1.98,0.00,16.21,0.01,0.08,0.02,0.02
3.72,29.66,0.05,1.19,0.01,6.53,0.64,0.08,1.50,0.00,0.00,0.11,3.95,1.46,0.00,56.82,0.82,0.07,0.36,0.00
3.91,2.81,0.01,2.72,0.00,4.41,0.18,1.06,1.08,0.15,0.00,0.19,6.67,1.79,0.01,30.24,0.86,0.10,0.41,0.00
1.74,19.89,0.03,0.75,0.00,5.33,0.44,1.75,0.30,0.00,0.00,0.17,9.67,1.55,0.01,58.18,7.55,0.06,0.10,0.02
3.09,6.31,0.05,2.91,0.01,5.66,0.01,0.98,0.33,0.49,0.01,0.06,4.91,1.18,0.00,43.27,0.06,0.03,0.36,0.03
2.92,23.59,0.01,3.60,0.00,3.37,0.11,1.17,0.27,0.00,0.00,0.01,17.62,1.97,0.00,54.70,4.29,0.02,0.42,0.08
4.53,0.27,0.01,1.17,0.00,6.17,0.11,1.41,1.08,0.38,0.00,0.15,0.69,1.88,0.00,51.54,6.69,0.04,0.06,0.04
2.94,0.02,0.01,3.85,0.00,2.97,0.30,1.79,1.31,0.00,0.00,0.07,15.24,1.24,0.00,51.47,2.89,0.05,0.40,0.09
4.71,26.40,0.05,3.28,0.01,1.54,0.82,1.42,1.29,0.28,0.00,0.01,2.00,1.44,0.00,6.92,2.54,0.08,0.44,0.07
2.66,18.02,0.01,2.74,0.00,2.03,0.59,0.53,0.12,0.00,0.00,0.02,8.96,1.61,0.01,54.13,0.40,0.00,0.08,0.03
1.81,20.45,0.04,0.14,0.00,4.34,0.69,1.71,1.35,0.85,0.85,0.10,12.71,1.21,0.01,11.04,3.63,0.01,0.48,0.09
4.56,26.79,0.03,3.44,0.01,1.33,0.12,1.52,1.04,0.00,0.00,0.15,14.68,1.60,0.01,31.89,1.20,0.02,0.40,0.07
4.62,24.92,0.00,0.60,0.00,3.31,0.40,0.13,1.42,0.48,0.01,0.18,10.66,1.41,0.01,10.00,4.73,0.00,0.26,0.05
4.41,28.70,0.04,1.43,0.00,5.71,0.03,1.93,0.43,0.00,0.00,0.18,9.98,1.48,0.01,48.29,3.63,0.02,0.12,0.01
4.18,14.00,0.03,0.59,0.00,2.20,0.29,0.99,0.31,0.01,0.01,0.19,10.63,1.28,0.00,5.87,3.41,0.04,0.09,0.04
1.21,17.59,0.04,2.61,0.00,1.16,0.71,0.54,1.41,0.00,0.00,0.11,9.19,1.34,0.00,40.72,2.18,0.04,0.24,0.06
1.12,8.38,0.01,2.20,0.00,7.38,0.30,1.71,0.03,0.60,0.60,0.19,10.52,1.25,0.00,34.99,1.75,0.01,0.04,0.04
2.55,23.92,0.05,0.52,0.01,7.48,0.07,0.64,0.43,0.00,0.00,0.06,16.37,1.75,0.01,52.24,0.97,0.03,0.23,0.06
0.14,2.60,0.03,1.75,0.01,4.86,0.66,0.86,0.11,0.85,0.85,0.10,6.48,1.06,0.01,17.68,5.59,0.04,0.45,0.06
0.33,29.01,0.01,1.67,0.00,7.22,0.36,1.04,0.51,0.00,0.00,0.14,12.04,1.54,0.01,30.00,7.64,0.05,0.31,0.03
3.01,1.94,0.04,0.31,0.00,4.78,0.04,0.65,0.20,0.45,0.01,0.01,16.70,1.55,0.00,43.22,3.10,0.01,0.01,0.01
2.61,8.57,0.01,3.06,0.01,6.10,0.39,0.59,0.40,0.00,0.00,0.10,11.77,1.18,0.01,44.20,6.96,0.05,0.03,0.03
3.51,16.45,0.03,3.01,0.00,4.16,0.36,0.31,0.74,0.55,0.55,0.09,7.85,1.78,0.01,32.15,7.43,0.09,0.09,0.05
2.17,22.79,0.02,0.45,0.01,7.08,0.62,0.61,1.46,0.00,0.00,0.14,16.56,1.62,0.01,37.96,5.67,0.06,0.15,0.08
1.40,11.99,0.04,3.22,0.01,1.10,0.65,0.13,1.04,0.26,0.00,0.16,11.21,1.49,0.00,39.65,0.94,0.09,0.08,0.00
3.50,24.25,0.01,2.10,0.01,5.69,0.89,0.15,0.52,0.00,0.00,0.03,18.28,1.27,0.01,33.83,7.12,0.09,0.26,0.04
1.77,21.15,0.00,3.33,0.01,2.05,0.10,1.48,0.95,0.91,0.91,0.07,17.73,1.91,0.01,6.17,3.69,0.04,0.37,0.00
4.80,2.98,0.04,1.90,0.00,2.37,0.11,1.53,1.30,0.00,0.00,0.08,12.22,1.77,0.01,54.96,4.37,0.05,0.22,0.05
1.99,7.55,0.04,1.53,0.00,1.68,0.35,0.04,1.30,0.03,0.01,0.11,1.08,1.09,0.01,44.54,3.11,0.07,0.13,0.04
0.61,5.64,0.03,3.93,0.01,7.86,0.49,0.47,0.89,0.00,0.00,0.04,1.74,1.16,0.01,55.58,3.71,0.02,0.36,0.06
0.84,22.30,0.04,3.72,0.01,1.75,0.33,1.66,1.08,0.32,0.00,0.02,14.37,1.45,0.00,0.40,2.74,0.03,0.14,0.08
4.55,24.52,0.04,2.31,0.00,3.64,0.43,1.65,0.69,0.00,0.00,0.05,11.32,1.93,0.00,25.90,1.55,0.01,0.47,0.00
2.14,18.10,0.01,0.12,0.01,5.23,0.30,1.95,0.99,0.05,0.01,0.16,18.78,1.27,0.01,6.97,7.60,0.01,0.12,0.02
4.57,22.96,0.01,0.88,0.01,3.07,0.65,0.16,0.49,0.00,0.00,0.16,17.38,1.09,0.00,48.01,1.27,0.01,0.15,0.06
3.93,27.30,0.04,0.64,0.00,7.93,0.83,1.63,0.67,0.40,0.01,0.14,6.14,1.29,0.01,1.05,4.45,0.02,0.17,0.03
4.36,26.45,0.01,3.95,0.00,7.89,0.55,1.62,1.48,0.00,0.00,0.16,1.60,1.38,0.00,49.62,7.87,0.02,0.31,0.04
4.73,12.24,0.04,0.73,0.01,3.09,0.37,1.33,1.08,0.44,0.01,0.09,3.98,1.80,0.00,9.67,6.81,0.02,0.31,0.01
0.38,20.90,0.04,2.50,0.01,7.05,0.25,1.98,0.51,0.00,0.00,0.15,12.20,1.19,0.01,34.98,1.65,0.04,0.18,0.03
3.69,3.70,0.05,1.81,0.01,7.24,0.40,0.53,0.93,0.36,0.00,0.10,2.53,1.78,0.00,50.04,4.58,0.01,0.45,0.09
0.60,20.74,0.02,2.47,0.00,4.16,0.57,0.42,0.07,0.00,0.00,0.20,10.17,1.69,0.01,35.93,2.30,0.07,0.44,0.03
3.01,12.25,0.02,1.63,0.01,1.41,0.46,0.62,0.88,0.25,0.00,0.17,9.14,1.50,0.01,36.36,3.46,0.10,0.23,0.04
4.05,11.47,0.02,2.51,0.00,4.18,0.60,1.34,0.03,0.00,0.00,0.06,14.24,1.53,0.00,40.77,5.06,0.09,0.22,0.04
1.15,2.63,0.04,2.60,0.01,3.01,0.65,1.60,0.16,0.02,0.00,0.18,16.05,1.29,0.00,13.75,4.89,0.03,0.12,0.01
1.16,19.57,0.01,0.65,0.01,1.13,0.76,1.82,0.26,0.00,0.00,0.11,4.15,1.76,0.01,44.45,7.42,0.01,0.33,0.04
4.66,2.57,0.02,3.63,0.00,6.90,0.32,0.13,0.30,0.20,0.00,0.05,16.42,1.80,0.01,15.52,1.94,0.01,0.41,0.00
2.91,19.59,0.04,1.48,0.01,6.62,0.06,1.69,0.94,0.00,0.00,0.20,10.67,1.62,0.01,50.55,7.92,0.08,0.09,0.03
4.73,13.20,0.04,3.08,0.00,3.15,0.37,0.51,1.49,0.24,0.00,0.02,3.74,1.60,0.01,5.72,5.55,0.04,0.08,0.07
0.11,13.69,0.02,0.83,0.00,7.24,0.33,0.97,1.31,0.00,0.00,0.09,9.49,1.10,0.01,43.93,7.38,0.10,0.35,0.06
2.33,29.23,0.04,2.76,0.01,6.06,0.46,0.14,0.75,0.51,0.51,0.09,4.20,1.88,0.01,12.48,4.54,0.07,0.38,0.08
0.78,22.20,0.00,2.25,0.00,4.74,0.15,1.33,0.63,0.00,0.00,0.13,11.04,1.85,0.01,30.91,6.68,0.10,0.11,0.05
1.34,4.06,0.04,0.57,0.00,5.30,0.20,0.89,0.61,0.01,0.00,0.12,11.98,1.11,0.00,3.99,2.41,0.02,0.30,0.06
1.83,28.52,0.04,3.71,0.00,4.35,0.31,0.70,1.42,0.00,0.00,0.20,5.59,1.58,0.00,57.43,2.91,0.10,0.39,0.01
3.62,16.22,0.02,1.21,0.01,4.33,0.71,0.08,1.44,0.34,0.00,0.17,0.88,1.90,0.01,29.35,6.66,0.05,0.45,0.08
1.10,21.18,0.02,0.22,0.00,5.59,0.85,1.57,1.17,0.00,0.00,0.14,11.41,1.96,0.01,47.28,5.16,0.06,0.17,0.00
1.82,0.80,0.04,1.77,0.00,3.23,0.56,1.78,1.27,0.15,0.00,0.16,18.18,1.12,0.01,37.41,3.61,0.10,0.25,0.04
4.94,25.72,0.03,3.47,0.00,6.58,0.89,1.62,1.27,0.00,0.00,0.12,12.88,1.00,0.01,21.68,4.06,0.10,0.33,0.03
1.79,5.14,0.04,0.02,0.00,0.26,0.70,1.32,0.76,0.23,0.00,0.13,14.66,1.42,0.00,10.01,5.87,0.05,0.30,0.02
4.76,15.76,0.04,2.48,0.01,5.99,0.15,1.31,1.16,0.00,0.00,0.16,0.52,1.40,0.01,48.57,4.28,0.09,0.34,0.08
0.18,12.65,0.03,3.37,0.00,7.25,0.84,1.00,0.14,0.36,0.01,0.10,14.38,2.00,0.01,15.29,1.80,0.04,0.29,0.03
3.07,25.52,0.01,0.46,0.00,1.57,0.12,0.23,0.31,0.00,0.00,0.10,1.23,1.50,0.00,49.24,5.01,0.02,0.20,0.03
3.01,3.44,0.01,1.81,0.00,4.62,0.61,0.87,1.14,0.79,0.79,0.10,4.87,1.53,0.01,47.83,4.25,0.10,0.27,0.03
1.25,5.54,0.04,1.33,0.00,5.47,0.72,1.05,0.15,0.00,0.00,0.15,12.44,1.33,0.01,51.38,0.02,0.06,0.45,0.01
2.04,22.26,0.03,1.79,0.01,5.98,0.70,1.92,1.36,0.94,0.94,0.13,7.67,1.54,0.01,24.13,0.85,0.07,0.36,0.03
2.25,7.80,0.03,0.77,0.00,1.33,0.16,0.99,0.08,0.00,0.00,0.02,12.05,1.91,0.01,49.83,5.84,0.05,0.41,0.07
2.80,23.13,0.04,0.12,0.01,3.67,0.29,0.98,0.27,0.20,0.01,0.01,8.32,1.02,0.00,24.98,0.74,0.07,0.45,0.08
0.77,24.26,0.01,2.10,0.00,2.70,0.31,0.20,0.28,0.00,0.00,0.11,11.76,1.87,0.01,36.42,1.64,0.10,0.30,0.07
3.34,11.79,0.05,3.06,0.01,4.49,0.73,0.91,0.65,0.51,0.51,0.02,16.27,1.63,0.01,22.00,5.65,0.03,0.31,0.03
3.08,27.30,0.04,0.71,0.00,1.62,0.88,0.76,1.33,0.00,0.00,0.08,17.50,1.99,0.01,46.12,5.13,0.05,0.20,0.06
1.92,14.94,0.03,1.69,0.00,1.19,0.02,0.39,0.33,0.83,0.83,0.08,15.17,1.58,0.00,26.22,4.18,0.08,0.18,0.08
2.03,25.53,0.03,2.76,0.00,7.92,0.51,0.93,0.62,0.00,0.00,0.20,8.62,1.20,0.00,57.17,4.00,0.06,0.11,0.00
0.93,7.74,0.01,3.88,0.00,3.66,0.85,0.77,0.81,0.20,0.01,0.15,6.19,1.75,0.01,14.24,1.92,0.03,0.45,0.02
2.97,9.92,0.03,0.11,0.00,3.18,0.51,1.36,0.31,0.00,0.00,0.10,14.65,1.18,0.00,48.72,1.82,0.03,0.50,0.06
2.46,6.70,0.02,2.35,0.00,7.17,0.50,1.04,0.63,0.09,0.01,0.18,7.76,1.46,0.00,8.62,0.51,0.04,0.08,0.09
0.72,11.42,0.02,2.35,0.01,5.76,0.60,1.00,0.00,0.00,0.00,0.17,5.45,1.56,0.00,57.99,1.05,0.10,0.24,0.02
1.36,17.54,0.05,2.42,0.01,2.20,0.30,0.27,0.61,0.65,0.65,0.14,7.77,1.94,0.00,12.93,0.41,0.02,0.20,0.06
2.61,28.32,0.05,3.69,0.00,2.38,0.22,1.40,0.05,0.00,0.00,0.14,3.73,1.20,0.01,41.36,6.31,0.05,0.33,0.02
1.77,10.45,0.04,2.06,0.01,6.12,0.65,1.05,0.96,0.32,0.01,0.05,1.61,1.70,0.00,10.44,1.86,0.01,0.07,0.05
1.46,12.01,0.03,0.63,0.01,2.28,0.10,1.51,1.33,0.00,0.00,0.00,18.29,1.93,0.00,43.88,5.77,0.08,0.08,0.04
2.92,12.37,0.03,2.52,0.00,4.91,0.66,1.50,0.68,0.80,0.80,0.19,10.20,1.72,0.01,11.36,7.67,0.10,0.39,0.04
3.51,26.82,0.05,1.74,0.00,3.11,0.83,0.84,0.33,0.00,0.00,0.05,12.51,1.67,0.01,23.36,3.93,0.06,0.41,0.08
1.38,20.58,0.00,0.57,0.01,5.38,0.20,0.78,1.50,0.36,0.00,0.00,7.24,1.86,0.00,27.25,7.77,0.09,0.42,0.02
4.67,29.82,0.02,1.96,0.00,0.94,0.79,1.98,0.63,0.00,0.00,0.01,14.86,1.51,0.01,17.84,7.59,0.00,0.44,0.06
1.55,16.16,0.01,3.27,0.00,7.83,0.16,0.58,1.07,0.52,0.52,0.10,15.72,1.89,0.01,21.94,6.38,0.01,0.27,0.00
1.98,28.55,0.01,2.47,0.00,4.62,0.77,1.84,0.40,0.00,0.00,0.18,5.29,1.22,0.00,32.54,4.83,0.02,0.10,0.02
2.78,13.84,0.02,1.33,0.01,6.44,0.45,0.56,0.80,0.29,0.00,0.19,2.84,1.37,0.00,29.98,7.36,0.08,0.09,0.08
4.83,26.30,0.01,0.39,0.01,0.95,0.53,0.53,0.88,0.00,0.00,0.08,14.87,1.05,0.01,25.80,6.60,0.05,0.34,0.05
0.63,24.98,0.02,3.51,0.00,5.61,0.58,0.77,0.79,0.37,0.00,0.15,0.83,1.92,0.01,28.58,0.09,0.02,0.37,0.06
0.12,23.30,0.04,0.03,0.01,0.71,0.28,1.23,0.66,0.00,0.00,0.16,16.93,1.41,0.00,52.49,7.20,0.07,0.14,0.04
0.24,14.45,0.01,1.09,0.00,2.59,0.73,1.45,0.65,0.57,0.57,0.19,7.01,1.81,0.01,39.12,0.43,0.03,0.39,0.09
0.81,24.60,0.03,2.44,0.01,5.11,0.07,1.45,0.11,0.00,0.00,0.13,13.26,1.68,0.01,58.07,0.18,0.00,0.36,0.08
3.79,26.13,0.01,3.47,0.01,2.99,0.72,0.17,0.59,0.40,0.01,0.15,11.37,1.44,0.01,9.33,1.30,0.05,0.27,0.07
1.68,28.40,0.02,2.00,0.01,3.03,0.10,0.83,0.59,0.00,0.00,0.03,0.86,1.56,0.00,41.50,7.88,0.03,0.28,0.08
3.00,3.92,0.04,1.05,0.00,1.64,0.04,0.02,0.47,0.28,0.01,0.14,6.15,1.78,0.01,41.93,3.50,0.01,0.47,0.09
2.46,24.32,0.01,1.91,0.00,0.80,0.06,0.68,0.01,0.00,0.00,0.01,0.67,1.25,0.01,51.80,6.59,0.04,0.46,0.08
4.79,12.45,0.02,3.01,0.01,5.42,0.58,1.25,0.51,0.69,0.69,0.11,15.27,1.27,0.00,16.55,2.83,0.03,0.22,0.03
2.98,13.07,0.03,0.91,0.01,6.13,0.83,1.56,0.25,0.00,0.00,0.02,8.32,1.39,0.01,57.33,2.60,0.03,0.40,0.09
2.64,18.44,0.01,0.19,0.01,4.86,0.35,1.98,0.99,0.41,0.00,0.10,10.20,1.69,0.00,5.91,4.49,0.06,0.18,0.08
3.53,24.88,0.01,1.48,0.01,5.28,0.51,1.67,0.50,0.00,0.00,0.06,7.04,1.09,0.01,49.23,4.02,0.10,0.36,0.04
1.36,28.23,0.04,0.29,0.01,0.63,0.36,0.06,1.03,0.44,0.01,0.14,1.69,1.52,0.00,3.23,1.15,0.09,0.42,0.02
3.31,7.98,0.05,1.06,0.00,4.40,0.71,1.65,1.23,0.00,0.00,0.05,10.42,1.58,0.00,50.17,1.76,0.10,0.44,0.01
0.65,13.96,0.00,3.72,0.00,5.17,0.37,1.64,1.39,0.30,0.01,0.16,15.69,1.22,0.00,16.85,0.67,0.03,0.21,0.06
4.24,29.37,0.04,1.32,0.01,6.35,0.80,1.25,1.34,0.00,0.00,0.04,6.42,1.13,0.01,53.87,4.53,0.05,0.01,0.08
0.24,21.63,0.02,1.87,0.00,0.45,0.57,0.75,1.25,0.28,0.00,0.08,15.32,1.01,0.01,13.30,4.32,0.05,0.29,0.04
3.07,24.10,0.04,3.47,0.00,6.44,0.88,1.81,0.00,0.00,0.00,0.12,1.80,1.34,0.01,58.15,0.27,0.03,0.46,0.01
2.65,14.39,0.00,2.26,0.01,4.08,0.82,0.81,1.27,0.53,0.53,0.06,17.18,1.35,0.01,9.72,0.23,0.07,0.42,0.01
1.18,20.35,0.02,1.84,0.00,5.21,0.74,1.76,0.61,0.00,0.00,0.11,8.93,1.31,0.01,39.63,2.76,0.02,0.44,0.07
4.84,17.86,0.00,0.79,0.01,4.81,0.67,1.67,0.02,0.10,0.01,0.03,14.08,1.72,0.01,25.89,6.21,0.06,0.21,0.03
1.90,18.49,0.01,2.51,0.00,2.62,0.07,1.18,1.34,0.00,0.00,0.17,16.32,1.94,0.01,33.37,4.35,0.08,0.47,0.08
4.29,21.68,0.01,0.42,0.00,0.17,0.50,0.44,0.67,0.59,0.59,0.04,15.34,1.68,0.01,1.22,3.61,0.05,0.05,0.02
1.24,29.84,0.04,0.37,0.01,5.29,0.08,1.34,0.69,0.00,0.00,0.11,0.52,1.23,0.00,46.80,3.34,0.06,0.48,0.04
4.30,10.80,0.05,0.54,0.00,6.10,0.70,0.98,0.79,0.72,0.72,0.12,1.22,1.15,0.00,7.63,3.03,0.05,0.29,0.07
1.91,20.69,0.03,3.84,0.01,6.24,0.59,1.23,0.51,0.00,0.00,0.18,3.88,1.02,0.00,40.00,4.67,0.02,0.11,0.05
4.13,0.59,0.02,3.91,0.00,1.77,0.34,0.04,0.61,0.21,0.00,0.09,9.19,1.07,0.00,38.32,3.97,0.04,0.32,0.06
3.44,12.48,0.03,2.45,0.00,4.79,0.13,0.24,1.23,0.00,0.00,0.20,9.60,1.65,0.01,40.67,5.94,0.03,0.10,0.07
2.01,15.10,0.01,2.17,0.01,6.42,0.33,0.16,1.01,0.76,0.76,0.17,17.85,1.01,0.01,3.17,5.31,0.07,0.32,0.00
4.50,17.88,0.02,1.99,0.01,2.88,0.82,1.54,0.05,0.00,0.00,0.11,15.01,1.07,0.01,49.56,4.35,0.05,0.38,0.03
2.02,9.31,0.03,2.83,0.00,0.88,0.73,1.49,1.45,0.42,0.01,0.16,2.70,1.24,0.00,29.85,5.52,0.04,0.39,0.00
0.73,16.98,0.03,1.88,0.01,5.33,0.16,0.88,0.12,0.00,0.00,0.14,13.48,1.73,0.01,56.14,2.74,0.07,0.24,0.02
3.81,21.14,0.04,3.72,0.00,4.27,0.52,0.96,1.45,0.44,0.01,0.04,0.55,1.98,0.01,4.27,6.49,0.06,0.33,0.03
1.57,23.24,0.00,3.26,0.00,1.13,0.41,1.58,0.57,0.00,0.00,0.15,0.14,1.58,0.01,55.81,5.32,0.07,0.39,0.03
4.35,16.79,0.05,1.74,0.01,6.95,0.85,0.99,0.87,0.39,0.00,0.17,4.94,1.66,0.00,16.75,5.35,0.03,0.42,0.07
1.62,23.28,0.02,3.11,0.00,6.47,0.39,1.52,0.67,0.00,0.00,0.11,5.00,1.36,0.00,32.48,6.25,0.04,0.18,0.01
4.39,15.46,0.03,0.54,0.01,3.99,0.19,0.28,1.16,0.85,0.85,0.01,10.61,1.20,0.01,33.56,1.46,0.09,0.23,0.08
4.79,22.04,0.02,1.16,0.01,7.40,0.89,0.95,1.00,0.00,0.00,0.12,8.99,1.13,0.01,46.91,2.38,0.09,0.24,0.02
0.99,21.31,0.03,1.85,0.00,7.96,0.20,0.75,0.34,0.98,0.98,0.10,16.47,1.91,0.01,8.75,0.67,0.06,0.18,0.08
4.07,22.48,0.01,2.27,0.01,6.34,0.11,1.64,1.06,0.00,0.00,0.15,7.50,1.76,0.00,29.22,6.02,0.03,0.35,0.07
3.38,0.13,0.03,1.36,0.00,2.38,0.01,0.93,1.44,0.53,0.53,0.20,12.84,1.25,0.01,47.83,2.74,0.03,0.24,0.05
3.57,25.28,0.03,1.03,0.01,5.42,0.76,0.15,1.19,0.00,0.00,0.03,15.36,1.24,0.01,30.22,5.57,0.09,0.02,0.06
1.66,18.95,0.03,0.59,0.01,2.83,0.09,0.77,1.23,0.79,0.79,0.11,10.90,1.35,0.01,26.42,1.91,0.02,0.04,0.04
2.02,24.89,0.00,2.40,0.01,4.90,0.59,1.07,1.04,0.00,0.00,0.04,2.65,1.87,0.00,35.64,3.13,0.08,0.27,0.00
0.33,25.32,0.03,1.03,0.01,2.46,0.24,0.31,1.10,0.06,0.01,0.07,3.36,1.74,0.01,4.51,7.32,0.02,0.12,0.09
0.35,24.83,0.00,3.43,0.01,2.57,0.72,0.04,0.20,0.00,0.00,0.04,5.63,1.83,0.01,51.58,3.10,0.09,0.49,0.01
1.65,4.36,0.02,0.41,0.01,7.78,0.61,1.95,1.29,0.05,0.00,0.09,16.67,1.11,0.00,23.26,6.74,0.09,0.06,0.05
3.49,17.09,0.01,2.01,0.01,5.01,0.14,0.58,0.54,0.00,0.00,0.15,8.51,1.67,0.00,48.94,5.34,0.00,0.36,0.00
3.25,3.51,0.01,2.49,0.01,2.16,0.80,1.88,1.34,0.28,0.00,0.12,3.27,1.76,0.01,20.86,1.25,0.08,0.27,0.06
4.11,19.85,0.02,2.26,0.00,6.98,0.10,0.78,0.06,0.00,0.00,0.08,2.72,1.54,0.01,48.66,7.78,0.05,0.09,0.06
3.72,9.74,0.00,1.34,0.00,2.83,0.48,0.42,1.20,0.36,0.01,0.06,7.05,1.34,0.01,36.49,3.92,0.06,0.10,0.02
4.57,17.34,0.02,2.45,0.01,5.24,0.39,0.87,0.30,0.00,0.00,0.02,6.92,1.75,0.01,36.55,6.31,0.09,0.35,0.06
